Attribute,IsTemplate,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,columnType,Format,Maximum,Minimum,Pattern
Component,,,,,,True,,,,,,,,
Patient,True,,,"Patient ID, Sex, Year of Birth, Diagnosis, Component",,False,DataType,,,,,,,
Patient ID,,,,,,True,DataProperty,,,,,,,
Sex,,,"Female, Male, Other",,,True,DataProperty,,,,,,,
Year of Birth,,,,,,False,DataProperty,,,,,,,
Diagnosis,,,"Healthy, Cancer",,,True,DataProperty,,,,,,,
Cancer,,,,"Cancer Type, Family History",,False,ValidValue,,,,,,,
Cancer Type,,,"Breast, Colorectal, Lung, Prostate, Skin",,,True,DataProperty,,,,,,,
Family History,,,"Breast, Colorectal, Lung, Prostate, Skin",,,True,DataProperty,,,,,,,
Biospecimen,True,,,"Sample ID, Patient ID, Tissue Status, Component",,False,DataType,Patient,,,,,,
Sample ID,,,,,,True,DataProperty,,,,,,,
Tissue Status,,,"Healthy, Malignant, None",,,True,DataProperty,,,,,,,
Bulk RNA-seq Assay,True,,,"Filename, Sample ID, File Format, Component",,False,DataType,Biospecimen,,,,,,
Filename,,,,,,True,DataProperty,,,,,,,
File Format,,,"FASTQ, BAM, CRAM, CSV/TSV",,,True,DataProperty,,,,,,,
BAM,,,,Genome Build,,False,ValidValue,,,,,,,
CRAM,,,,"Genome Build, Genome FASTA",,False,ValidValue,,,,,,,
CSV/TSV,,,,Genome Build,,False,ValidValue,,,,,,,
Genome Build,,,"GRCh37, GRCh38, GRCm38, GRCm39",,,True,DataProperty,,,,,,,
Genome FASTA,,,,,,True,DataProperty,,,,,,,
MockComponent,True,Component to hold mock attributes for testing all validation rules,,"Component, Check List, Check List Enum, Check List Like, Check List Like Enum, Check List Strict, Check List Enum Strict, Check Regex List, Check Regex List Like, Check Regex List Strict, Check Regex Single, Check Regex Format, Check Regex Integer, Check Num, Check Float, Check Int, Check String, Check URL,Check Match at Least, Check Match at Least values, Check Match Exactly, Check Match Exactly values, Check Match None, Check Match None values, Check Recommended, Check Ages, Check Unique, Check Range, Check Date, Check NA",,False,DataType,,,,,,,
Check List,,,,,,True,DataProperty,,,,,,,
