Attribute,Description,DependsOn,Valid Values,Required,columnType,IsTemplate,Format,Maximum,Minimum,Pattern,Validation Rules,Parent,Source
birthDate,"Birth date of the patient",,,,string,,date,,,,,,
ID,"Patient ID",,,True,string,,,,,[a-f],,,
diagnosis,"Diagnosis of the patient",,"Healthy, Cancer",True,"string",,,,,,,,
cancer,"Cancer of the patient","cancerType, familyHistory",,,,,,,,,,,
cancerType,"Cancer type",,"Brain, Lung, Skin",,"string",,,,,,,,
familyHistory,"Family history of the patient",,"Brain, Lung, Skin",,"string_list",,,,,,,,
age,"Age of the patient",,,,integer,,,120,0,,,,
weight,"Weight of the patient",,,,number,,,,0,,,,
healthScore,"Health score of the patient",,,,number,,,1,0,,,,
Healthy,"Whether the patient is healthy",,,,,,,,,,,,
Cancer,"Whether the patient has cancer",,,,,,,,,,,,
Brain,"Whether the patient has brain cancer",,,,,,,,,,,,
Lung,"Whether the patient has lung cancer",,,,,,,,,,,,
Skin,"Whether the patient has skin cancer",,,,,,,,,,,,
