Attribute,Description,DependsOn,Valid Values,Required,columnType,IsTemplate,Format,Maximum,Minimum,Pattern,Validation Rules,Parent,Source
patient_template,"Patient template","ID, birthDate, diagnosis, age, weight, healthScore",,,,True,,,,,,,
birthDate,"Birth date of the patient",,,,string,,date,,,,,,
ID,"Patient ID",,,True,string,,,,,[a-f],,,
diagnosis,"Diagnosis of the patient",,"Healthy, Cancer",True,"string",,,,,,,,
cancer,"Cancer of the patient","cancerType, familyHistory",,,,,,,,,,,
cancerType,"Cancer type",,"Brain, Lung, Skin",,"string",,,,,,,,
familyHistory,"Family history of the patient",,"Brain, Lung, Skin",,"string_list",,,,,,,,
age,"Age of the patient",,,,integer,,,120,0,,,,
weight,"Weight of the patient",,,,number,,,,0,,,,
healthScore,"Health score of the patient",,,,number,,,1,0,,,,
metadata_template,"Metadata template","assay, fileFormat",,,,True,,,,,,,
fileFormat,"Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software",,"fastq, csv, txt",True,string,,,,,,,,
assay,"The technology used to generate the data in this file",,"10x multiome, 16SrRNAseq",True,string,,,,,,,,
